PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00055297.v2 	 phs000007.v18.p7 	 pht000395.v6 	 sleep1_1998s 	 WHENPD15 	 Prevalent disease data collected today at home visit or before at clinic? 	 NONE 	 NONE 	 NONE 	 NONE 	 prevalent disease data collected today at home visit or before at clinic 	 NULL 	 NULL 	 NULL 	 NULL 	 disease;home visit (procedure);evaluation and management of patient at home;postpartum home visit 	 C0012634;C0020043;C0199358;C0695714 	 dsyn;hlca;hlca;topp 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Therapeutic or Preventive Procedure;Medical History
phv00118435.v2 	 phs000285.v2.p2 	 pht001761.v2 	 E1F08 	 E08HRTAG 	 AGE DIAGNOSED-HEART ATTACK. Q 8 	 integer 	 Years old 	 NONE 	 NONE 	 age diagnosed heart attack  q 8 	 Age 	 age 	 C0001779 	 orga 	 diagnosis;myocardial infarction 	 C0011900;C0027051 	 fndg;dsyn 	 study subject 	 C0681850 	 grup	Demographics Patient;Medical History
phv00093718.v1 	 phs000280.v1.p1 	 pht001319.v1 	 ARIC_CARE_ESMBV3C1 	 ESMB115 	" COND 16- LEAD 2, EV7 "	 encoded 	 NONE 	 NONE 	 NONE 	 cond 16 lead 2  ev7 	 NULL 	 NULL 	 NULL 	 NULL 	 hutterite cerebroosteonephrodysplasia syndrome 	 C1856054 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00004170.v1 	 phs000007.v18.p7 	 pht000022.v4 	 ex0_20s 	 FM106 	" AMOUNT OF DIFFICULTY SITTING FOR LONG PERIODS, SAY 1 HOUR "	 NONE 	 NONE 	 NONE 	 NONE 	 amount of difficulty sitting for long periods  say 1 hour 	 NULL 	 NULL 	 NULL 	 NULL 	 difficulty sitting;simian acquired immunodeficiency syndrome 	 C0560883;C0080151 	 fndg;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00006064.v1 	 phs000007.v18.p7 	 pht000026.v3 	 ex0_24s 	 FQ064 	 TAKES OWN MEDICATIONS (SEE NOTE ABOVE) 	 NONE 	 NONE 	 NONE 	 NONE 	 takes own medications  see note above 	 NULL 	 NULL 	 NULL 	 NULL 	 pharmaceutical preparations;medications:presence or identity:duration of the study:^patient:nominal;medications:-:point in time:^patient:-;vision 	 C0013227;C0802604;C2598133;C0042789 	 phsu;clna;clna;orgf 	 study subject 	 C0681850 	 grup	Medication Patient;Medical History
phv00156291.v1 	 phs000200.v8.p2 	 pht001030.v3 	 outc_self_cad_rel1 	 F33ANYFX 	 F33 Any Fracture 	 encoded value 	 NONE 	 NONE 	 NONE 	 f33  any fracture 	 NULL 	 NULL 	 NULL 	 NULL 	 fracture;fracture adverse event 	 C0016658;C1963113 	 inpo;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00093405.v1 	 phs000280.v1.p1 	 pht001316.v1 	 ARIC_CARE_ECHAV3C1 	 ECHA49 	 LV SEPTUM THICKNESS - DIASTOLE 2-D    49 	 decimal 	 NONE 	0.64765	2.47851	 left ventricular septum thickness diastole2 d 49 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00053363.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V2389 	" V6 Visual hallucinations, (African American participants). DIGS4 "	 NONE 	 NONE 	 NONE 	 NONE 	 v6 visual hallucinations   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	" hallucinations, visual;diagnosis;genetic study "	 C0233763;C0011900;C2827447 	 sosy;fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes;Medical History
phv00081918.v1 	 phs000219.v1.p1 	 pht001080.v1 	 d_drug 	 DGOG 	 Ongoing 	 Encoded Value 	 NONE 	 NONE 	 NONE 	 ongoing 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00116562.v2 	 phs000285.v2.p2 	 pht001707.v2 	 D1F02 	 D02RZ2D 	 RZ2 DBP. Q 15 	 integer 	 NONE 	2	42	 rz2 diastolic blood pressure q 15 	 NULL 	 NULL 	 NULL 	 NULL 	 diastolic blood pressure;intravascular diastolic:pressure:point in time:arterial system:quantitative;diastolic blood pressure measurement 	 C0428883;C0488052;C1305849 	 clna;clna;diap 	 study subject 	 C0681850 	 grup	Clinical Attributes
phv00167019.v2 	 phs000007.v18.p7 	 pht002572.v2 	 t_echo_2008_m_0549s 	 x354 	 2-D MEASUREMENT  Basal Anterior Septum Wall Motion Score - resting  (TwoD_WMResting_BasAntSep_Score) 	 NONE 	 NONE 	 NONE 	 NONE 	 2 d measurement basal anterior septum wall motion score resting  twod_wmresting_basantsep_score 	 NULL 	 NULL 	 NULL 	 NULL 	 rest;wall motion 	 C0035253;C1980023 	 dora;clna 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00032105.v1 	 phs000086.v2.p1 	 pht000273.v1 	 DCCT_f106cmb3 	 JFC5L 	 Pregnancy complications: premature rupture of membranes 	 byte 	 NONE 	 NONE 	 NONE 	 pregnancy complications  premature rupture of membranes 	 NULL 	 NULL 	 NULL 	 NULL 	 pregnancy complications;traumatic rupture 	 C0032962;C0035955 	 dsyn;inpo 	 study subject 	 C0681850 	 grup	Medical History
phv00087075.v1 	 phs000209.v10.p2 	 pht001121.v3 	 MESA_FamilyExamMain 	 sitefc 	 FIELD CENTER WHERE EXAMINED 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 field center where examined 	 NULL 	 NULL 	 NULL 	 NULL 	 examined 	 C0332128 	 fndg 	 study subject 	 C0681850 	 grup	
phv00121054.v2 	 phs000285.v2.p2 	 pht001860.v2 	 F2HRV 	 FRSLHF 	 LOG OF MEAN HF POWER (FRSHFPAVG) 	 decimal 	 NONE 	0.530628	9.475788	 logarithm of mean heart failure power  frshfpavg 	 NULL 	 NULL 	 NULL 	 NULL 	 heart failure;congestive heart failure 	 C0018801;C0018802 	 dsyn;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00093726.v1 	 phs000280.v1.p1 	 pht001319.v1 	 ARIC_CARE_ESMBV3C1 	 ESMB123 	" COND 19- LEAD 1, EV5 "	 encoded 	 NONE 	 NONE 	 NONE 	 cond 19 lead 1  ev5 	 NULL 	 NULL 	 NULL 	 NULL 	" hutterite cerebroosteonephrodysplasia syndrome;lead;plumbum metallicum, homeopathic preparation "	 C1856054;C0023175;C1442948 	" dsyn;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History;Medical History
phv00092300.v1 	 phs000280.v1.p1 	 pht001300.v1 	 ARIC_CARE_DENTAL_JUNE_2009 	 BLDL16 	 Bleeding on Probing (BL) measure for Distolingual (DL) of tooth number 16 	 encoded 	 NONE 	 NONE 	 NONE 	 bleeding on probing  bleeding on probing  measure for distolingual  distolingual  of tooth number 16 	 NULL 	 NULL 	 NULL 	 NULL 	 hemorrhage;exploration with a probe 	 C0019080;C0419358 	 patf;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00002313.v1 	 phs000007.v18.p7 	 pht000016.v3 	 ex0_14s 	 FG193 	 BREAST EXAMINATION: ABNORMAL 	 NONE 	 NONE 	 NONE 	 NONE 	 breast examination  abnormal 	 NULL 	 NULL 	 NULL 	 NULL 	 examination of breast 	 C0199850 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00086863.v2 	 phs000209.v10.p2 	 pht001120.v7 	 MESA_Exam4Main 	 hepfil4 	 HEPARIN 10 ML: FILLED 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 heparin 10 mesiolingual  filled 	 NULL 	 NULL 	 NULL 	 NULL 	 heparin 	 C0019134 	" bacs,carb,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00097495.v1 	 phs000280.v1.p1 	 pht001402.v1 	 ARIC_CARE_TSRAV1C1 	 TSRA15 	 PHYSICIAN WAS THIS A TIA-STROKE?    Q15 	 encoded 	 NONE 	 NONE 	 NONE 	 physician was this a transient ischemic attack stroke  q15 	 NULL 	 NULL 	 NULL 	 NULL 	 physician:identifier:point in time:^patient:nominal;transient ischemic attack;cerebrovascular accident 	 C0804815;C0007787;C0038454 	 clna;dsyn;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00117310.v2 	 phs000285.v2.p2 	 pht001722.v2 	 D1F31A 	 D31DTEV4 	 DATE OF EVENT - 4TH HOSPITALIZATION 	 integer 	 NONE 	 NONE 	 NONE 	 date of event 4th hospitalization 	 NULL 	 NULL 	 NULL 	 NULL 	 date fruit;hospitalization 	 C2348077;C0019993 	 food;hlca 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00082220.v1 	 phs000219.v1.p1 	 pht001095.v1 	 d_neurexm_trans 	 NEUEV_FG 	 Neurological examination: Frontal gait 	 Encoded value 	 NONE 	 NONE 	 NONE 	 neurological examination  frontal gait 	 NULL 	 NULL 	 NULL 	 NULL 	" neurologic examination;gait, frontal "	 C0027853;C0751831 	 diap;fndg 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00030990.v1 	 phs000086.v2.p1 	 pht000260.v1 	 DCCT_cbl9 	 BCSGLUC5 	 CBL9: GFR serum glucose - t5 value (mg/dl) 	 int 	 MG/DL 	 NONE 	 NONE 	 cbl9  glomerular filtration rate serum glucose t5 value  mg/dl 	 NULL 	 NULL 	 NULL 	 NULL 	" glomerular filtration rate;glucose measurement, serum;glomerular filtration rate finding "	 C0017654;C0202041;C1561549 	" diap,ortf;lbpr;fndg "	 study subject 	 C0681850 	 grup	Lab Tests Patient;Diagnostic Procedure
phv00027309.v1 	 phs000086.v2.p1 	 pht000229.v1 	 DCCT_cbl1 	 REPEAT_F 	 CBL1: Repeat evaluation for 24-hr urine tests 	 str1 	 NONE 	 NONE 	 NONE 	 cbl1  repeat evaluation for 24 heart rate urine tests 	 NULL 	 NULL 	 NULL 	 NULL 	 evaluation procedure;laboratory procedures 	 C1261322;C0022885 	 hlca;lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Clinical Attributes
phv00073363.v1 	 phs000171.v1.p1 	 pht000780.v1 	 MS_DATA_NEURSTAT1 	 OTHTX 	 Other - specify 	 String 	 NONE 	 NONE 	 NONE 	 other specify 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00112170.v1 	 phs000294.v1.p1 	 pht001533.v1 	 MIGen_Subject 	 source_subjid 	 Source subject id 	 string 	 NONE 	 NONE 	 NONE 	 source subject identification 	 NULL 	 NULL 	 NULL 	 NULL 	 source;identification (psychology) 	 C0449416;C0020792 	 fndg;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00084158.v2 	 phs000209.v10.p2 	 pht001115.v3 	 MESA_Exam1Diet 	 svdenchilada1c 	 SERVINGS PER DAY 63:ENCHILADAS 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 servings per day 63 enchiladas 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00144156.v2 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 LL_850_holes 	" LEFT LUNG, LOWER 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE "	 String 	 NONE 	 NONE 	 NONE 	 left lung  lower 850 1  d array of hole areas sorted by increasing size 	 NULL 	 NULL 	 NULL 	 NULL 	 hole finding;sorting (cognition);increased size (finding) 	 C0544726;C0237886;C0332509 	 fndg;menp;fndg 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding;Medical History
phv00025317.v1 	 phs000086.v2.p1 	 pht000212.v1 	 DCCT_ms7exf10 	 QV28_R60 	 Finger tapping - dominant hand - mean rate (quarterly visit 28) 	 float 	 AVERAGE RATE/10 SECONDS 	 NONE 	 NONE 	 finger tapping dominant hand mean rate  quarterly visit 28 	 NULL 	 NULL 	 NULL 	 NULL 	 finger tapping;health care visit 	 C0870564;C1512346 	 orgf;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00005956.v1 	 phs000007.v18.p7 	 pht000025.v4 	 ex0_23s 	 FP508 	 ACTIVITIES II - CES-D SCALE I FELT FEARFUL 	 NONE 	 NONE 	 NONE 	 NONE 	 activities ii ces d scale i felt fearful 	 NULL 	 NULL 	 NULL 	 NULL 	 emotions;feelings;fear (mental process) 	 C0013987;C1527305;C0015726 	 menp;menp;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00100340.v1 	 phs000287.v2.p1 	 pht001452.v1 	 BASEBOTH 	 ANYONE 	 PASSIVE SMOKING 	 encoded 	 NONE 	 NONE 	 NONE 	 passive smoking 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Smoking History
phv00171752.v1 	 phs000462.v1.p1 	 pht002844.v1 	 T2D_GENES_Subject_Phenotypes 	 WAISTC_5 	 Waist circumference at the fifth study visit 	 decimal 	 cm 	50	300	 waist circumference at the fifth study visit 	 NULL 	 NULL 	 NULL 	 NULL 	 waist circumference (observable entity);clinical trials;health care visit;study 	 C0455829;C0008976;C1512346;C2603343 	 clna;resa;inbe;resa 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Clinical Attributes;Research Attributes
phv00119784.v2 	 phs000285.v2.p2 	 pht001809.v2 	 F1F05 	 F05TMSPN 	 TIME BLOOD WAS SPUN. Q 7 	 integer 	 NONE 	26040	62580	 time blood was spun  q 7 	 NULL 	 NULL 	 NULL 	 NULL 	 spun 	 C1446863 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00098149.v1 	 phs000280.v1.p1 	 pht001410.v1 	 ARIC_CARE_UDTBV2C1 	 UDTBSA07 	 SDAC7 	 decimal 	 NONE 	4.82	10.76	 sdac7 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00044595.v1 	 phs000017.v3.p1 	 pht000317.v1 	 DIGS4_DiagnosisPage1 	 V117 	" Opiate Abuse/Dependence, age last dep., (Participants with European ancestry). DIGS4. Page1 "	 NONE 	 Years old 	 NONE 	 NONE 	 opiate abuse/dependence  age last dep    participants with european ancestry   diagnostic interview for genetic studies  page1 	 Age;Ethnicity 	 age;ethnic european 	 C0001779;C0239307 	 orga;popg 	 opiate addiction;drug abuse;1-(2-(dodecyloxy)ethyl)pyrrolidine hydrochloride;victim of abuse finding;abuse;opioid abuse;emotional dependency;dependence;diagnosis;genetic study 	 C0524662;C0013146;C0057472;C0562381;C1328247;C0029095;C0011546;C0439857;C0011900;C2827447 	" mobd;mobd;orch,phsu;fndg;mobd;mobd;menp;mobd;fndg;resa "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Mental or Emotional Finding;Substance Use History;Research Attributes;Medical History
phv00096898.v1 	 phs000280.v1.p1 	 pht001392.v1 	 ARIC_CARE_SESAV4C1 	 SESA11A 	 NATURAL MOTHERS EDUCATION         Q11A 	 encoded 	 NONE 	 NONE 	 NONE 	 natural mothers education q11 a 	 Education Level 	 educational aspects;educational status;educational process of instructing;mother education:history:point in time:^mother:ordinal;mother education 	 C0013622;C0013658;C0039401;C2735569;C2924476 	 clas;fndg;edac;clna;fndg 	 educational status;mother education:history:point in time:^mother:ordinal;mother education 	 C0013658;C2735569;C2924476 	 fndg;clna;fndg 	 natural mother 	 C0337486 	 famg	Demographics Family;Medical History Family
phv00101843.v1 	 phs000287.v2.p1 	 pht001474.v1 	 YR10 	 BLIND74 	 Completely blind in one or both eyes 	 encoded 	 NONE 	 NONE 	 NONE 	 completely blind in one or both eyes 	 NULL 	 NULL 	 NULL 	 NULL 	 blinded;blind vision 	 C0150108;C0456909 	 resa;dsyn 	 study subject 	 C0681850 	 grup	Research Attributes;Medical History
phv00125667.v1 	 phs000286.v3.p1 	 pht001937.v1 	 AFUI17 	 AFUI1M 	 MONTH OF STATUS                   Q1 	 integer 	 NONE 	 NONE 	 NONE 	 month of status q1 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00104712.v1 	 phs000287.v2.p1 	 pht001489.v1 	 YR4 	 PRARM27 	 DOES PTT USE A RIGHT ARM PROTHESIS 	 encoded 	 NONE 	 NONE 	 NONE 	 does ptt use a right arm prothesis 	 NULL 	 NULL 	 NULL 	 NULL 	 activated partial thromboplastin time measurement 	 C0030605 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00158823.v1 	 phs000237.v1.p1 	 pht002162.v1 	 NU_VU_T2D_Subject_Phenotypes 	 SMOKING_STATUS 	 Last known Smoking status 	" string, encoded value "	 NONE 	 NONE 	 NONE 	 last known smoking status 	 NULL 	 NULL 	 NULL 	 NULL 	 smoking status 	 C1519386 	 clna 	 study subject 	 C0681850 	 grup	Smoking History
phv00168599.v1 	 phs000343.v2.p1 	 pht002718.v1 	 cti 	 CTI8C2 	 Site: Is it cerebellum? Lesion #2 	 encoded string 	 NONE 	 NONE 	 NONE 	 site  is it cerebellum  lesion  number2 	 NULL 	 NULL 	 NULL 	 NULL 	 cerebellar lesion 	 C0742035 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00126803.v1 	 phs000286.v3.p1 	 pht001953.v1 	 DPASS_DIET1_ES 	 lffq_tryp 	 LFFQ: tryptophan (gm) 	 decimal 	 gm 	0.186212	2.452657	 lffq  tryptophan  gm 	 NULL 	 NULL 	 NULL 	 NULL 	 tryptophan 	 C0041249 	" aapp,bacs,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00025966.v1 	 phs000086.v2.p1 	 pht000214.v1 	 DCCT_f0034 	 OCLSTVST 	 Date of last completed visit 	 str6 	 NONE 	 NONE 	 NONE 	 date of last completed visit 	 NULL 	 NULL 	 NULL 	 NULL 	 date fruit;health care visit 	 C2348077;C1512346 	 food;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00094634.v1 	 phs000280.v1.p1 	 pht001338.v1 	 ARIC_CARE_HPCBV4C1 	 HPCB3 	 HOTHEADED PERSON                     Q3 	 encoded 	 NONE 	 NONE 	 NONE 	 hotheaded person q3 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00055181.v2 	 phs000007.v18.p7 	 pht000394.v5 	 wktest1_7s 	 WT014 	 ARRHYTHMIA NOTED 	 NONE 	 NONE 	 NONE 	 NONE 	 arrhythmia noted 	 NULL 	 NULL 	 NULL 	 NULL 	 cardiac arrhythmia 	 C0003811 	 patf 	 study subject 	 C0681850 	 grup	Medical History
phv00022398.v3 	 phs000007.v18.p7 	 pht000100.v4 	 psych1_3s 	 PY85 	 HOW LIKELY IS IT THAT DURING THE NEXT COUPLE YEARS YOU WILL LOSE YOUR PRESENT JOB WITH YOUR EMPLOYER? [JOB INSECURITY SCALE] 	 NONE 	 NONE 	 NONE 	 NONE 	 how likely is it that during the next couple years you will lose your present job with your employer   job insecurity scale 	 Employment Status 	 computer job;employer 	 C2826594;C1274022 	 mcha;prog 	 insecurity 	 C0233497 	 menp 	 couples (persons) 	 C0010222 	 famg	Demographics Family;Mental or Emotional Finding Family
phv00126290.v1 	 phs000286.v3.p1 	 pht001951.v1 	 DITA 	 DITA129 	 Genistein (mg) 	 decimal 	 mg 	0	8.9192	 genistein  magnesium 	 NULL 	 NULL 	 NULL 	 NULL 	 genistein 	 C0061202 	" bacs,orch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient
phv00098100.v1 	 phs000280.v1.p1 	 pht001410.v1 	 ARIC_CARE_UDTBV2C1 	 UDTB19 	 COMPLIANCE 	 decimal 	 NONE 	1.2	34.79999	 compliance 	 NULL 	 NULL 	 NULL 	 NULL 	 compliance behavior 	 C1321605 	 inbe 	 study subject 	 C0681850 	 grup	
phv00125485.v1 	 phs000286.v3.p1 	 pht001935.v1 	 AFUC3 	 AFUC48O 	 48o. Medication name 	 encoded 	 NONE 	 NONE 	 NONE 	 48 o  medication name 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Medication Patient
phv00048498.v1 	 phs000086.v2.p1 	 pht000324.v1 	 EDIC_cbldata 	 BOSGLUC4 	 Serum glucose-t 4 (mg/dl) 	 int 	 mg/dl 	 NONE 	 NONE 	 serum glucose t 4  mg/dl 	 NULL 	 NULL 	 NULL 	 NULL 	" glucose measurement, serum "	 C0202041 	 lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00032982.v1 	 phs000086.v2.p1 	 pht000278.v1 	 DCCT_bgpdat 	 LDT25_15 	 Blood glucose profile collection date (quarterly visit 15) 	 str6 	 NONE 	 NONE 	 NONE 	 blood glucose profile collection date  quarterly visit 15 	 NULL 	 NULL 	 NULL 	 NULL 	 profile (lab procedure);blood glucose measurement;health care visit 	 C1979963;C0392201;C1512346 	 lbpr;lbpr;inbe 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Healthcare Encounter
phv00168466.v1 	 phs000343.v2.p1 	 pht002716.v1 	 bss 	 BSS24F 	" While you were having your episode of paralysis or weakness, did any of the following occur?  {INCLUDE ALL THAT APPLY}  Seizures or convulsions "	 encoded string 	 NONE 	 NONE 	 NONE 	 while you were having your episode of paralysis or weakness  did any of the following occur  {include all that apply} seizures or convulsions 	 NULL 	 NULL 	 NULL 	 NULL 	 paralysed;asthenia;lassitude;weakness;application procedure;seizures;convulsions 	 C0522224;C0004093;C0086525;C1883552;C0185125;C0036572;C0009951 	 fndg;sosy;sosy;sosy;hlca;sosy;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00127298.v1 	 phs000286.v3.p1 	 pht001954.v1 	 ECGA 	 ecga179 	 PRDURV4 - PR Duration in lead V4 	 integer 	 NONE 	0	330	 prdurv4 pr duration in lead v4 	 NULL 	 NULL 	 NULL 	 NULL 	 duration 	 C2926735 	 phsu 	 study subject 	 C0681850 	 grup	
phv00065271.v1 	 phs000007.v18.p7 	 pht000608.v2 	 cmrwma1_2006s 	 wms 	 GLOBAL WALL MOTION SCORE 	 NONE 	 NONE 	 NONE 	 NONE 	 global wall motion score 	 NULL 	 NULL 	 NULL 	 NULL 	 wall motion 	 C1980023 	 clna 	 study subject 	 C0681850 	 grup	
phv00020403.v1 	 phs000021.v3.p2 	 pht000069.v1 	 EA_GAIN_phenotype_controls_questionnaire 	 I13 	" Please think about the time in your life when having to do these things was bothering you the most (doing or counting or checking something over and over, or in the same order). Did you think that these actions were unnecessary or that you overdid it? "	" numbers (see key to right): 1, 2, -1, -2 "	 NONE 	 NONE 	 NONE 	 please think about the time in your life when having to do these things was bothering you the most  doing or counting or checking something over and over  or in the same order   did you think that these actions were unnecessary or that you overdid it 	 NULL 	 NULL 	 NULL 	 NULL 	" thinking, function "	 C0039869 	 menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00018191.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V1163 	 H10b.  At least two symptoms.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 h10 b  at least two symptoms   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 symptoms;diagnosis;genetic study 	 C1457887;C0011900;C2827447 	 sosy;fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes;Medical History
phv00087648.v1 	 phs000209.v10.p2 	 pht001121.v3 	 MESA_FamilyExamMain 	 q26umcmf 	 26: MODERATE VOLUNTEER MET-MIN/WK M-SU 	 NUMERIC 	 MET-min/wk M-Su 	 NONE 	 NONE 	 26  moderate volunteer met min/wk msu 	 NULL 	 NULL 	 NULL 	 NULL 	 maple syrup urine disease;metastatic neoplasm 	 C0024776;C2939420 	 dsyn;neop 	 clinical trial participant (person) 	 C1997894 	 popg	Medical History Family
phv00086916.v2 	 phs000209.v10.p2 	 pht001120.v7 	 MESA_Exam4Main 	 gout4 	" GOUT FLARE-UP, PAST TWO WEEKS "	 NUMERIC 	 NONE 	 NONE 	 NONE 	 gout flare up  past two weeks 	 NULL 	 NULL 	 NULL 	 NULL 	 gout;flare 	 C0018099;C1517205 	 dsyn;sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00035193.v1 	 phs000017.v3.p1 	 pht000292.v1 	 EA_GAIN_phenotype_controls_questionnaire_subset 	 H1_2 	" The next questions are about your use of drugs on your own.  By ""on your own"" we mean either without a doctor's prescription, in larger amounts than prescribed, or for longer than prescribed.  With this definition in mind, did you ever use any of the following drugs on your own? Tranquilizers or ""nerve pills""? (Librium, Valium, Ativan, Meprobamate, Xanax, etc.). (Participants with European ancestry) "	" numbers (see key to right): 1, 2, -1, -2 "	 NONE 	 NONE 	 NONE 	 the next questions are about your use of drugs on your own  by on your own we mean either without a doctor s prescription  in larger amounts than prescribed  or for longer than prescribed  with this definition in mind  did you ever use any of the following drugs on your own  tranquilizers or nerve pills   librium  valium  ativan  meprobamate  xanax  etc     participants with european ancestry 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 pharmaceutical preparations;prescription procedure;prescribed;psyche structure;tranquilizing agents;tranquilizers - consent type;librium;valium;ativan;meprobamate;xanax 	 C0013227;C0033080;C0278329;C0229992;C0040614;C1548924;C0013881;C0699187;C0699194;C0025386;C0699034 	" phsu;hlca;hlca;menp;phsu;hlca;orch,phsu;orch,phsu;orch,phsu;orch,phsu;orch,phsu "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Mental or Emotional Finding
phv00004101.v1 	 phs000007.v18.p7 	 pht000022.v4 	 ex0_20s 	 FM272 	 LONGEST DURATION (MINUTES) OF CHEST DISCOMFORT (RESPONSES EXCEEDING 3 DIGITS WERE TRUNCATED TO 998) 	 NONE 	 MINUTES 	 NONE 	 NONE 	 longest duration  minutes  of chest discomfort  responses exceeding 3 digits were truncated to 998 	 NULL 	 NULL 	 NULL 	 NULL 	 chest discomfort 	 C0235710 	 sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00009874.v3 	 phs000007.v18.p7 	 pht000035.v6 	 ex1_6s 	 F399 	 PHLEBITIS IN RIGHT LEG 	 NONE 	 NONE 	 NONE 	 NONE 	 phlebitis in right leg 	 NULL 	 NULL 	 NULL 	 NULL 	 phlebitis 	 C0031542 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00026099.v1 	 phs000086.v2.p1 	 pht000214.v1 	 DCCT_f0034 	 OCFAM38 	 Family history: myocardial infarct in diabetic siblings before age 40 	 byte 	 NONE 	 NONE 	 NONE 	 family history  myocardial infarct in diabetic siblings before age 40 	 Age 	 age 	 C0001779 	 orga 	 family history of;myocardial infarction;diabetic 	 C0241889;C0027051;C0241863 	 fndg;dsyn;fndg 	 family;sibling 	 C0015576;C0037047 	 fndg;famg	Demographics Family;Medical History Family
phv00095133.v1 	 phs000280.v1.p1 	 pht001347.v1 	 ARIC_CARE_MSRV2C1 	 MSRB26 	 TAKE PAIN MEDS IN PAST 2 WEEKS?   Q26 	 encoded 	 NONE 	 NONE 	 NONE 	 take pain meds in past 2 weeks  q26 	 NULL 	 NULL 	 NULL 	 NULL 	 pain;pain nos adverse event 	 C0030193;C1962977 	 sosy;fndg 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
